vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,600.perlbench_s,t_600.perlbench_s,602.gcc_s,t_602.gcc_s,605.mcf_s,t_605.mcf_s,620.omnetpp_s,t_620.omnetpp_s,623.xalancbmk_s,t_623.xalancbmk_s,625.x264_s,t_625.x264_s,631.deepsjeng_s,t_631.deepsjeng_s,641.leela_s,t_641.leela_s,648.exchange2_s,t_648.exchange2_s,657.xz_s,t_657.xz_s
Intel,Huawei,Xeon Gold 5220,Huawei,2200,3900,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394427492,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,36,cpu2017-20190425-12260.csv,6.824534,260.09103,9.890104,402.6247,12.649362,373.220408,7.800811,209.080835,12.489408,113.456138,14.436401,122.191123,5.490099,261.015306,4.777248,357.109391,14.123586,208.162426,22.272218,277.56553
Intel,Dell Inc.,Xeon Gold 6226,Dell Inc.,2700,3700,x86_64,24,1,12,2,2,32,32,1024.0,19712.0,394700048,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,ext4,24,cpu2017-20190611-15324.csv,6.175363,287.432495,8.538719,466.346273,11.326555,416.808126,5.947711,274.223122,11.39941,124.304682,13.423606,131.410294,5.22737,274.134009,4.522659,377.211757,13.360621,220.049653,19.263398,320.919496
Intel,Lenovo Global Technology,Xeon Gold 6244,Lenovo Global Technology,3600,4400,x86_64,64,2,8,4,4,32,32,1024.0,25344.0,1584956740,48,33554432.0,2933,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,64,cpu2017-20190610-15191.csv,7.502818,236.577763,10.588437,376.070598,13.657195,345.678584,8.121486,200.825318,13.967564,101.449328,15.169665,116.284704,5.872306,244.026781,5.369994,317.691212,15.879763,185.141308,25.798225,239.628889
Intel,Cisco Systems,Xeon Gold 6230R,Cisco Systems,2100,4000,x86_64,52,1,26,2,2,32,32,1024.0,36608.0,791202692,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,btrfs,52,cpu2017-20200303-21213.csv,6.95036,255.382438,9.228466,431.490993,12.17221,387.850682,9.141998,178.407395,12.69688,111.602224,14.592309,120.885598,5.57823,256.891515,4.901643,348.046541,17.12812,171.647555,24.240549,255.027227
Intel,Cisco Systems,Xeon Platinum 8256,Cisco Systems,3800,3900,x86_64,16,1,4,4,4,32,32,1024.0,16896.0,1583904288,48,33554432.0,2933,240.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,btrfs,16,cpu2017-20191112-19835.csv,6.652621,266.812121,9.311626,427.637447,12.469716,378.597235,6.269392,260.152822,12.3216,115.001296,14.237516,123.898016,5.465435,262.193237,4.781892,356.762535,16.692444,176.127594,21.047851,293.711697
Intel,Lenovo Global Technology,Xeon Gold 5218T,Lenovo Global Technology,2100,3800,x86_64,128,2,16,4,4,32,32,1024.0,22528.0,1584960356,48,33554432.0,2933,960.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.4.227 of Intel,Yes,xfs,128,cpu2017-20191014-19175.csv,6.648883,266.962147,9.540631,417.372799,12.166294,388.039297,6.936622,235.128856,12.087957,117.224107,11.19046,157.634277,5.202511,275.443941,4.639559,367.707381,16.175641,181.754776,23.556508,262.432788
Intel,Supermicro,Xeon E-2124G,Supermicro,3400,4500,x86_64,4,1,4,1,1,32,32,256,8192.0,65827504,4,16777216.0,2666,200.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,4,cpu2017-20181210-10174.csv,7.065784,251.210637,11.299892,352.39275,14.317978,329.725334,6.495827,251.08426,11.495357,123.267161,13.781423,127.99839,5.912138,242.38272,5.2119,327.327834,16.191406,181.577809,8.075739,765.502681
Intel,Hewlett Packard Enterprise,Xeon Silver 4210,HPE,2200,3200,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,197722744,12,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,20,cpu2017-20190514-14007.csv,5.512735,321.981761,7.571516,525.918459,10.471711,450.833674,5.2749,309.200191,10.095669,140.357215,11.352744,155.380938,4.564726,313.929029,3.899049,437.54259,11.510765,255.413086,17.338118,356.555426
Intel,Lenovo Global Technology,Xeon Platinum 8158,Lenovo Global Technology,3000,3700,x86_64,48,1,12,4,4,32,32,1024.0,25344.0,1584975168,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,48,cpu2017-20180528-06011.csv,6.166083,287.865094,9.160102,434.711297,10.965844,430.518624,6.309917,258.481996,9.482803,149.42839,11.720237,150.508904,4.926314,290.886872,4.334384,393.596906,13.252575,221.843684,22.958535,269.268057
Intel,Hewlett Packard Enterprise,Xeon Gold 6240Y,HPE,2600,3900,x86_64,72,1,18,4,4,32,32,1024.0,25344.0,792253000,24,33554432.0,2666,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,72,cpu2017-20191119-19947.csv,6.74983,262.969572,8.902163,447.307033,12.04931,391.806652,7.678064,212.423348,12.273412,115.452816,14.091891,125.178376,5.372611,266.723191,4.74422,359.595459,14.038097,209.430091,23.114937,267.446108
