vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,500.perlbench_r,t_500.perlbench_r,502.gcc_r,t_502.gcc_r,505.mcf_r,t_505.mcf_r,520.omnetpp_r,t_520.omnetpp_r,523.xalancbmk_r,t_523.xalancbmk_r,525.x264_r,t_525.x264_r,531.deepsjeng_r,t_531.deepsjeng_r,541.leela_r,t_541.leela_r,548.exchange2_r,t_548.exchange2_r,557.xz_r,t_557.xz_r
Intel,Huawei,Xeon Platinum 8153,Huawei,2000,2800,x86_64,256,2,16,8,16,32,32,1024.0,22528.0,1583378172,48,33554432.0,2666,900.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.0.128 of Intel C/C++,No,ext4,256,cpu2017-20180608-06693.csv,412.748544,987.410133,461.727232,785.086943,684.73216,604.171937,384.448,873.647331,582.015232,464.482612,1066.558976,420.282428,473.129216,620.075836,436.917248,970.288994,1006.49984,666.388537,396.589824,697.143554
Intel,Hewlett Packard Enterprise,Xeon Gold 6210U,HPE,2500,3900,x86_64,40,2,20,1,2,32,32,1024.0,28160.0,395624252,12,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,btrfs,40,cpu2017-20190624-15569.csv,97.68324,651.90299,102.5458,552.338606,166.4292,388.393371,83.02724,632.081706,139.53128,302.727804,254.87996,274.796025,107.4282,426.70354,98.99028,669.156485,227.79312,460.0666,83.51048,517.300439
Intel,Cisco Systems,Xeon Gold 5115,Cisco Systems,2400,3200,x86_64,40,2,10,2,2,32,32,1024.0,14080.0,792193112,24,33554432.0,2666,400.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,40,cpu2017-20190108-10671.csv,80.70448,789.051604,84.00676,674.231299,120.09516,538.239896,61.84064,848.63298,91.6688,460.789261,206.94512,338.44721,94.14744,486.895898,86.1184,769.173708,197.7338,530.005528,74.00712,583.727651
Intel,Dell Inc.,Xeon Bronze 3204,Dell Inc.,1900,1900,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,395668908,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,No,ext4,12,cpu2017-20190415-11965.csv,31.818864,600.398473,37.130652,457.62727,49.928352,388.396529,29.167992,539.769799,48.781308,259.771607,70.47894,298.1316,32.332332,425.332752,26.975124,736.678606,73.396008,428.36118,23.457312,552.492852
Intel,Fujitsu,Xeon Gold 5218,Fujitsu,2300,3900,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,790861352,24,33554432.0,2933,240.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,64,cpu2017-20190416-12152.csv,139.372608,731.047515,147.770304,613.276149,244.60832,422.814702,125.605056,668.508113,208.457664,324.209727,337.18336,332.353313,152.012224,482.487557,138.988672,762.536789,319.738432,524.428652,121.440832,569.166004
AMD,Dell Inc.,EPYC 7351,Dell Inc.,2400,2900,x86_64,64,2,16,2,8,32,64,512,65536.0,1056597308,16,67108864.0,2667,800.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 1.0.0 of AOCC,No,xfs,64,cpu2017-20181029-09357.csv,126.43392,805.86106,155.64544,582.2461,206.17216,501.63903,107.7952,778.95719,159.57504,423.52572,322.63232,347.34273,163.35808,448.97709,139.2384,761.17021,306.2112,547.59552,102.0704,677.17943
Intel,ASUSTeK Computer Inc.,Xeon E-2244G,ASUSTeK Computer Inc.,3800,4800,x86_64,8,2,4,1,1,32,32,256,8192.0,65582808,4,16777216.0,2666,1024.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,No,xfs,8,cpu2017-20200106-20524.csv,28.727992,443.330685,32.477504,348.795236,46.733336,276.633377,21.172024,495.748449,40.474624,208.72339,79.1246,177.037224,29.71616,308.519026,26.810608,494.132726,78.416384,267.291092,22.54132,383.296069
Intel,Epsylon Sp. z o.o. Sp. Komandytowa,Xeon Silver 4114,Epsylon Sp. z o.o. Sp. Komandytowa,2200,3000,x86_64,20,2,10,1,1,32,32,1024.0,14080.0,196471408,6,33554432.0,2666,960.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,No,ext4,20,cpu2017-20190304-11110.csv,36.54534,871.246321,42.55952,665.420934,60.1299,537.502955,32.69924,802.465141,50.52472,418.013212,90.96176,384.996973,40.73732,562.628933,37.98658,871.886827,88.42746,592.57615,34.901,618.893582
Intel,Lenovo Global Technology,Xeon Platinum 8280,Lenovo Global Technology,2700,4000,x86_64,336,2,28,6,12,32,32,1024.0,39424.0,2377629848,72,33554432.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,tmpfs,336,cpu2017-20190401-11611.csv,817.590816,654.253958,689.131296,690.399758,1299.890592,417.70904,619.722768,711.337321,1038.3408,341.714389,2144.798544,274.30828,891.470496,431.933487,866.248656,642.328362,1916.837664,459.256427,688.024512,527.423114
Intel,Inspur Corporation,Xeon Platinum 8176,Inspur Corporation,2100,3800,x86_64,112,2,28,2,4,32,32,1024.0,39424.0,790996856,24,33554432.0,2666,200.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,112,cpu2017-20180917-08905.csv,215.879664,825.941465,225.776992,702.427757,316.339632,572.144509,161.673232,908.894836,233.201696,507.166169,554.556352,353.63761,253.110816,507.09808,235.075344,788.989589,549.672816,533.844851,209.22104,578.144471
