vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,603.bwaves_s,t_603.bwaves_s,607.cactuBSSN_s,t_607.cactuBSSN_s,619.lbm_s,t_619.lbm_s,621.wrf_s,t_621.wrf_s,627.cam4_s,t_627.cam4_s,628.pop2_s,t_628.pop2_s,638.imagick_s,t_638.imagick_s,644.nab_s,t_644.nab_s,649.fotonik3d_s,t_649.fotonik3d_s,654.roms_s,t_654.roms_s
AMD,ASUSTeK Computer Inc.,EPYC 7302P,ASUSTeK Computer Inc.,3000,3300,x86_64,32,2,16,1,4,32,32,512,131072.0,528198776,8,67108864.0,3200,240.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,16,cpu2017-20191125-20004.csv,294.413516,200.391615,123.686422,134.776314,30.351231,172.579489,81.803925,161.679283,44.565237,198.876984,57.580369,206.198748,78.245332,184.368826,107.880956,161.956296,54.579137,167.023528,100.261441,157.039435
Intel,Cisco Systems,Xeon Gold 5120,Cisco Systems,2200,3200,x86_64,28,1,14,2,2,32,32,1024.0,19712.0,791225644,24,33554432.0,2666,600.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,28,cpu2017-20181211-10264.csv,415.718526,141.91814,110.83528,150.403373,79.190181,66.144564,88.87701,148.812387,61.525962,144.05301,53.490505,221.964629,73.661451,195.84192,140.701481,124.177797,71.730295,127.087168,100.17225,157.179258
Intel,Tyrone Systems,Xeon Gold 6240,Netweb,2600,3900,x86_64,72,2,18,2,2,32,32,1024.0,25344.0,394858828,12,33554432.0,2933,480.0,CentOS,7,CentOS Linux release 7.7.1908 (Core),C/C++: Version 19.0.4.243 of Intel C/C++,Yes,xfs,36,cpu2017-20191011-18970.csv,511.502087,115.342638,147.44196,113.061438,95.913799,54.611537,120.683087,109.592821,89.326827,99.219913,68.411355,173.553059,120.018454,120.198182,216.269395,80.78813,83.40189,109.30208,116.321558,135.35754
Intel,Hewlett Packard Enterprise,Xeon Platinum 8260L,HPE,2400,3900,x86_64,96,1,24,4,4,32,32,1024.0,36608.0,791961784,24,33554432.0,2933,480.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,96,cpu2017-20190625-15799.csv,835.709212,70.596326,217.585438,76.613583,156.446141,33.481171,138.086871,95.780286,172.074925,51.506633,51.228197,231.766894,228.734015,63.068888,440.038352,39.70563,113.326235,80.440332,276.986771,56.84387
Intel,Cisco Systems,Xeon Bronze 3204,Cisco Systems,1900,1900,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,792175840,24,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,12,cpu2017-20190903-17756.csv,166.00992,355.3884,46.720931,356.799396,33.297033,157.311312,41.390106,319.544966,19.857433,446.331616,33.367156,355.828944,26.020899,554.400532,47.656119,366.626582,32.946038,276.694875,38.619741,407.693054
Intel,Lenovo Global Technology,Xeon E-2144G,Lenovo Global Technology,3600,4500,x86_64,8,2,4,1,1,32,32,256,8192.0,65809220,4,16777216.0,2666,480.0,RHEL,7.5,Red Hat Enterprise Linux Server release 7.5,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,4,cpu2017-20181113-09715.csv,80.624524,731.762459,41.926262,397.602818,7.272274,720.269934,31.597395,418.578813,18.254553,485.5227,30.634347,387.571512,20.024812,720.406263,37.531188,465.532824,18.050839,505.018069,15.566603,1011.460215
Intel,Dell Inc.,Xeon Gold 6254,Dell Inc.,3100,4000,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394675928,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,36,cpu2017-20190916-17990.csv,496.953684,118.719313,153.589285,108.536217,96.344081,54.367637,139.53291,94.787674,100.654097,88.054041,72.228656,164.38074,131.999764,109.288074,258.655484,67.549312,82.517289,110.473819,120.731149,130.413734
Intel,Cisco Systems,Xeon Gold 6238,Cisco Systems,2100,3700,x86_64,88,1,22,4,4,32,32,1024.0,30976.0,1583889064,48,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,btrfs,88,cpu2017-20200203-20709.csv,979.799389,60.214367,209.020245,79.75304,150.159194,34.882979,133.704447,98.919672,150.719581,58.804569,48.344328,245.59241,217.715948,66.260649,378.643911,46.143618,109.192941,83.48525,258.000139,61.027099
Intel,Lenovo Global Technology,Xeon Gold 6137,Lenovo Global Technology,3900,4100,x86_64,16,1,8,2,2,32,32,1024.0,25344.0,395892380,24,16777216.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,16,cpu2017-20180626-07460.csv,419.398623,140.672851,100.89434,165.222351,41.987656,124.75095,82.893537,159.554055,51.987188,170.484313,63.613463,186.64288,70.773637,203.832962,143.372526,121.864352,76.032176,119.896608,105.788975,148.834035
Intel,Cisco Systems,Xeon Platinum 8168,Cisco Systems,2700,3700,x86_64,48,1,24,2,2,32,32,1024.0,33792.0,791226428,24,33554432.0,2666,400.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,48,cpu2017-20181113-09770.csv,465.082576,126.854892,168.394435,98.99377,44.315059,118.199097,94.224143,140.367421,107.95509,82.098954,65.579459,181.047545,142.709402,101.086542,300.741713,58.096364,81.913834,111.287673,149.801035,105.106083
