vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,503.bwaves_r,t_503.bwaves_r,507.cactuBSSN_r,t_507.cactuBSSN_r,508.namd_r,t_508.namd_r,510.parest_r,t_510.parest_r,511.povray_r,t_511.povray_r,519.lbm_r,t_519.lbm_r,521.wrf_r,t_521.wrf_r,526.blender_r,t_526.blender_r,527.cam4_r,t_527.cam4_r,538.imagick_r,t_538.imagick_r,544.nab_r,t_544.nab_r,549.fotonik3d_r,t_549.fotonik3d_r,554.roms_r,t_554.roms_r
Intel,Lenovo Global Technology,Xeon Platinum 8268,Lenovo Global Technology,2900,3900,x86_64,96,2,24,2,4,32,32,1024.0,36608.0,395878244,24,16777216.0,2933,800.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,96,cpu2017-20190514-14082.csv,532.650144,1807.355208,235.414368,516.264259,223.802976,407.50131,134.783808,1863.251026,347.773632,644.557279,126.690624,798.670136,235.738944,912.195362,328.760736,444.724647,339.399072,494.709665,721.982592,330.689422,531.347904,304.071946,173.071584,2161.602664,103.052448,1480.25565
Intel,Hewlett Packard Enterprise,Xeon Gold 5218,HPE,2300,3900,x86_64,128,2,16,4,8,32,32,1024.0,22528.0,791956108,24,33554432.0,2933,480.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,No,btrfs,128,cpu2017-20190709-16172.csv,879.837696,1458.887187,292.59328,553.833739,263.699456,461.131041,199.232256,1680.691675,414.811264,720.520409,205.342976,657.008235,367.841152,779.466902,385.717888,505.405719,371.273216,602.984582,769.547008,413.666746,576.304768,373.802226,282.956032,1762.874678,159.67424,1273.793636
Intel,Supermicro,Core i3-8300,Supermicro,3700,3700,x86_64,4,1,4,1,1,32,32,256,8192.0,65826480,4,16777216.0,2666,200.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,No,xfs,4,cpu2017-20190121-10797.csv,67.647492,592.956213,23.211244,218.170107,19.08162,199.144514,18.066176,579.20396,30.625532,304.974295,16.547952,254.774723,32.88706,272.447591,25.683732,237.192932,30.23242,231.407204,67.604304,147.150396,37.979304,177.254434,20.768388,750.563734,14.064972,451.902832
Intel,Lenovo Global Technology,Xeon Gold 6226,Lenovo Global Technology,2700,3700,x86_64,48,2,12,2,4,32,32,1024.0,19712.0,197396356,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,xfs,48,cpu2017-20190926-18667.csv,435.719904,1104.709747,115.131936,527.811905,113.09592,403.197627,96.270864,1304.319853,167.192496,670.365098,97.99344,516.279534,175.52472,612.563322,158.842416,460.229652,167.311104,501.771815,355.64832,335.657406,253.397856,318.802995,135.4836,1380.654108,82.474752,924.792062
Intel,Huawei,Xeon Gold 6148,Huawei,2400,3700,x86_64,160,2,20,4,8,32,32,1024.0,28160.0,1583346104,48,33554432.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,160,cpu2017-20180528-06070.csv,938.46112,1709.692678,356.9832,567.421585,306.37056,496.131132,219.48848,1906.979906,483.55584,772.609906,220.62096,764.387719,416.7,860.091107,434.1752,561.248108,450.38864,621.329949,659.14752,603.688879,575.91648,467.567746,286.17904,2178.77598,178.04544,1427.950671
Intel,Dell Inc.,Xeon Platinum 8276M,Dell Inc.,2200,4000,x86_64,112,2,28,2,4,32,32,1024.0,39424.0,394661060,12,33554432.0,2933,960.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,No,ext4,112,cpu2017-20190624-15457.csv,507.59352,2212.668025,226.944144,624.788084,210.330176,505.87138,127.7024,2294.333906,325.384192,803.726787,123.3036,957.376479,226.899008,1105.690311,306.559792,556.420061,319.174016,613.734078,705.76968,394.667005,510.817552,369.008428,165.299904,2640.436449,97.7928,1819.847274
Intel,Dell Inc.,Xeon Gold 5120,Dell Inc.,2200,3200,x86_64,56,2,14,2,4,32,32,1024.0,19712.0,196709700,12,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,56,cpu2017-20180820-08546.csv,392.410256,1431.073779,124.742744,568.337732,105.224448,505.585889,90.172936,1624.611132,167.392792,781.156633,88.725,665.246411,164.40312,763.00262,142.969904,596.545046,138.30208,708.188839,205.282112,678.441917,182.498064,516.432803,115.820544,1884.225151,70.910448,1254.878244
Intel,NEC Corporation,Xeon Platinum 8153,NEC Corporation,2000,2800,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,395924392,24,16777216.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,No,ext4,64,cpu2017-20181015-09180.csv,448.657408,1430.472392,133.466624,607.073208,107.291904,566.678248,99.504128,1682.583251,173.420928,861.718312,102.316864,659.28508,186.67232,767.97662,158.670528,614.304356,153.081216,731.219667,331.925248,479.52965,237.506176,453.512475,145.004736,1719.998999,80.06784,1270.123391
AMD,ASUSTeK Computer Inc.,EPYC 7F52,ASUSTeK Computer Inc.,3500,3900,x86_64,64,2,16,2,8,32,32,512,262144.0,1056697044,16,67108864.0,3200,1024.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,No,xfs,64,cpu2017-20200316-21248.csv,743.914752,862.72253,501.368256,161.60576,221.695936,274.249464,376.306624,444.9138,329.245696,453.885939,172.860864,390.232905,369.03808,388.469403,347.489984,280.503043,324.955392,344.465729,883.257664,180.20563,393.738624,273.562187,244.248704,1021.123078,207.93024,489.087144
Intel,Lenovo Global Technology,Xeon Gold 5118,Lenovo Global Technology,2300,3200,x86_64,48,2,12,2,2,32,32,1024.0,16896.0,792245524,24,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,48,cpu2017-20180206-03385.csv,387.743088,1241.399312,109.653072,554.184152,93.19824,489.279675,83.197776,1509.271415,151.76736,738.498695,88.083696,574.36282,156.568032,686.730303,125.989824,580.237343,120.51384,696.617114,183.178464,651.692313,161.27472,500.909314,114.568848,1632.695374,70.460832,1082.473913
